country,country_code,iso2,source,Date,Song,Artist,songID,youtube_songID,youtube_videoID,youtube_video_type,youtube_search_match_score,youtube_title,youtube_duration
South Korea,KOR,KR,Melon Chart,2004,My Name,보아 (Boa),my name₩보아 (boa),My Name₩보아 (BoA),BkO1xDybJO4,youtube music,1.0,My Name,
South Korea,KOR,KR,Melon Chart,1998,하나의 사랑,박상민,하나의 사랑₩박상민,하나의 사랑₩박상민,smNYEAEO5n0,youtube music,1.0,하나의 사랑,
South Korea,KOR,KR,Melon Chart,1984,길 바람 아이,김광일,길 바람 아이₩김광일,길 바람 아이₩김광일,emFguRdoPQs,youtube music,1.0,길 바람 아이,
South Korea,KOR,KR,Melon Chart,1993,내일은 늦으리,올스타 밴드,내일은 늦으리₩올스타 밴드,내일은늦으리₩올스타밴드,b1QsENelnrI,youtube music,0.75,내일은늦으리,259.0
South Korea,KOR,KR,Melon Chart,1995,Mystery,봄여름가을겨울,mystery₩봄여름가을겨울,미련₩봄 여름 가을 겨울,TTp6BJ2tBNw,youtube music,0.31,미련,317.0
South Korea,KOR,KR,Melon Chart,2005,"별, 바람, 햇살 그리고 사랑",김종국,"별, 바람, 햇살 그리고 사랑₩김종국","별, 바람, 햇살 그리고 사랑₩김종국",412GY0P47nI,youtube music,1.0,"별, 바람, 햇살 그리고 사랑",
South Korea,KOR,KR,Melon Chart,2007,Ordinary People,Sg 워너비,ordinary people₩sg 워너비,SG워너비 - Ordinary People₩진영이,EfCF0_kz4Lw,youtube video,0.77,SG워너비 - Ordinary People,
South Korea,KOR,KR,Melon Chart,1998,진심,김광진,진심₩김광진,진심 Truly₩김광진 KIM Kwang Jin,PDlNQv5XN-8,youtube music,0.33,진심 Truly,247.0
South Korea,KOR,KR,Melon Chart,2008,사랑해 (Feat. 윤은혜),마이티 마우스,사랑해 (feat. 윤은혜)₩마이티 마우스,사랑해₩Mighty Mouth,JCzyBCOjMFo,youtube music,0.16,사랑해,243.0
South Korea,KOR,KR,Melon Chart,1981,청춘,산울림,청춘₩산울림,청춘₩산울림,kumjzuAU_yg,youtube music,1.0,청춘,
South Korea,KOR,KR,Melon Chart,1989,흐린 가을 하늘에 편지를 써,김광석,흐린 가을 하늘에 편지를 써₩김광석,흐린 가을 하늘에 편지를 써₩김광석,X90-C6K49-8,youtube music,1.0,흐린 가을 하늘에 편지를 써,
South Korea,KOR,KR,Melon Chart,1977,호수에 잠긴 달,세부엉,호수에 잠긴 달₩세부엉,호수에 잠긴 달₩세부엉,bC6dl8sLdRo,youtube music,1.0,호수에 잠긴 달,
South Korea,KOR,KR,Melon Chart,1971,창밖에는 비 오고요,송창식,창밖에는 비 오고요₩송창식,창밖에는 비오고요₩송창식,XBKgDQ6CS9g,youtube music,0.88,창밖에는 비오고요,
South Korea,KOR,KR,Melon Chart,1997,"Here, I Stand For You (Original Ver.)",넥스트,"here, i stand for you (original ver.)₩넥스트","Here, I Stand For You₩넥스트",-saceK8m5-w,youtube music,0.75,"Here, I Stand For You",294.0
