country,country_code,iso2,source,Date,Song,Artist,songID,youtube_songID,youtube_videoID,youtube_video_type,youtube_search_match_score,youtube_title,youtube_duration
South Korea,KOR,KR,Melon Chart,2008,여자는 사랑을 먹고,왁스,여자는 사랑을 먹고₩왁스,여자는 사랑을 먹고₩왁스,Y8ADX2Qb03A,youtube music,1.0,여자는 사랑을 먹고,
South Korea,KOR,KR,Melon Chart,1975,마음은 서러워도,박일남,마음은 서러워도₩박일남,마음은 서러워도₩박일남,_qTO5Li5B7A,youtube music,1.0,마음은 서러워도,
South Korea,KOR,KR,Melon Chart,2006,Must Have Love,"Sg 워너비, 브라운아이드걸스","must have love₩sg 워너비, 브라운아이드걸스",Must Have Love₩브라운아이드걸스,HLasqiCzquc,youtube music,0.85,Must Have Love,
South Korea,KOR,KR,Melon Chart,1989,화려한 날은 가고,유열,화려한 날은 가고₩유열,화려한 날은 가고₩석양,n8wlOO1ermg,youtube music,0.82,화려한 날은 가고,
South Korea,KOR,KR,Melon Chart,2008,10점 만점에 10점,2pm,10점 만점에 10점₩2pm,10 Out of 10 (10점 만점에 10점)₩2PM,lqfbYfWeNhc,youtube music,0.6,10 Out of 10 (10점 만점에 10점),205.0
South Korea,KOR,KR,Melon Chart,1967,사월이 가면,패티김,사월이 가면₩패티김,사월이 가면₩패티김,6zMBuhm6DWk,youtube music,1.0,사월이 가면,
South Korea,KOR,KR,Melon Chart,1996,내 방식대로의 사랑 (House Version),신승훈,내 방식대로의 사랑 (house version)₩신승훈,내 방식대로의 사랑 (House Version)₩신승훈,9krXTDHnOAI,youtube music,1.0,내 방식대로의 사랑 (House Version),
South Korea,KOR,KR,Melon Chart,1980,그 사람 바보,희자매,그 사람 바보₩희자매,그 사람 바보₩희자매,1gQTKvcXMUc,youtube music,1.0,그 사람 바보,
South Korea,KOR,KR,Melon Chart,1973,바다의 여인,4월과 5월,바다의 여인₩4월과 5월,바다의 여인₩4월과 5월,1IGWWMJyNZw,youtube music,1.0,바다의 여인,
South Korea,KOR,KR,Melon Chart,2003,오리 날다 (영화 '권순분여사 납치사건' Cf 테마송),체리 필터,오리 날다 (영화 '권순분여사 납치사건' cf 테마송)₩체리 필터,flying duck(오리 날다 (영화 '권순분여사 납치사건' CF 테마송))₩체리필터,FYjWDBEA76E,youtube music,0.8,flying duck(오리 날다 (영화 '권순분여사 납치사건' CF 테마송)),
South Korea,KOR,KR,Melon Chart,1976,둘이서,박상규,둘이서₩박상규,둘이서₩박상규,Mqj7enmWcIA,youtube music,1.0,둘이서,
South Korea,KOR,KR,Melon Chart,2006,운다,손호영,운다₩손호영,손호영 - 운다 kpop 韓國歌謠₩Nareusha Jeong,cGBBXURZoQQ,youtube video,0.22,손호영 - 운다 kpop 韓國歌謠,259.0
South Korea,KOR,KR,Melon Chart,1995,너를 품에 안으면,컬트,너를 품에 안으면₩컬트,너를 품에 안으면₩컬트,raSkJFOu54Q,youtube music,1.0,너를 품에 안으면,
South Korea,KOR,KR,Melon Chart,1974,제비,조영남,제비₩조영남,제비₩조영남,YD44BskkeM0,youtube music,1.0,제비,
South Korea,KOR,KR,Melon Chart,1988,누구없소?,한영애,누구없소?₩한영애,누구없소?₩한영애,IY5uJY1sRzM,youtube music,1.0,누구없소?,
South Korea,KOR,KR,Melon Chart,1993,신(新) 인류의 사랑,015b,신(新) 인류의 사랑₩015b,신(新) 인류의 사랑₩공일오비(015B),v5s2ZgYBXlk,youtube music,0.78,신(新) 인류의 사랑,
South Korea,KOR,KR,Melon Chart,1985,겨울 비는 내리고,김범룡,겨울 비는 내리고₩김범룡,겨울비는 내리고₩김범룡,TdxLQam4LwU,youtube music,0.87,겨울비는 내리고,
South Korea,KOR,KR,Melon Chart,2009,Love Like This (네게로),Ss501,love like this (네게로)₩ss501,Love Like This (네게로)₩SS501,3cPLDqE9lqo,youtube music,1.0,Love Like This (네게로),
South Korea,KOR,KR,Melon Chart,1990,보라빛 향기,강수지,보라빛 향기₩강수지,보라빛 향기₩강수지,JNO61Tk7j1w,youtube music,1.0,보라빛 향기,
