Date,Song,Artist,query_idx,official,topic,channel_artist_same,keywords,video_title,video_channel,video_url
1/30/1965,I Want My Baby Back,Jimmy Cross,2,False,True,True,True,i want my baby back,jimmy cross - topic,https://www.youtube.com/watch?v=ohWaDKhbto4
1/30/1965,A Change Is Gonna Come,Sam Cooke,2,False,True,False,True,a change is gonna come,corbie dorner - topic,https://www.youtube.com/watch?v=qSFtUJzauZc
1/30/1965,Can't You Hear My Heartbeat,Herman's Hermits,1,False,False,True,True,can't you hear my heartbeat,herman's hermits,https://www.youtube.com/watch?v=8CUVVQkDtp4
1/30/1965,Don't Come Running Back To Me,Nancy Wilson,2,False,True,True,True,don't come running back to me,nancy wilson - topic,https://www.youtube.com/watch?v=eOq8ukqZixU
1/30/1965,Married Man,Richard Burton,1,False,True,False,True,a married man (bonus track),release - topic,https://www.youtube.com/watch?v=DCEd-TK1eD8
1/30/1965,The Man,Lorne Greene,0,False,True,True,True,the man,lorne greene - topic,https://www.youtube.com/watch?v=ZKU4jdf9rro
2/6/1965,Hurt So Bad,Little Anthony And The Imperials,1,False,True,True,True,hurt so bad,little anthony - topic,https://www.youtube.com/watch?v=InfVZCkC_ic
2/6/1965,I'm Over You,Jan Bradley,1,False,True,False,True,i'm over you,release - topic,https://www.youtube.com/watch?v=wqRlMAuyiTE
2/6/1965,Born To Be Together,The Ronettes Featuring Veronica,0,False,False,True,True,born to be together,the ronettes,https://www.youtube.com/watch?v=TSpZWDVlmzo
2/6/1965,Cross My Heart,Bobby Vee,2,False,True,True,True,cross my heart,bobby vee - topic,https://www.youtube.com/watch?v=bREE-fv6m58
2/6/1965,Ask The Lonely,Four Tops,0,False,True,True,True,ask the lonely,four tops - topic,https://www.youtube.com/watch?v=c8gjC-mlnq8
2/13/1965,Goodnight,Roy Orbison,0,False,False,True,True,roy orbison - goodnight (monument concert 1965),roy orbison,https://www.youtube.com/watch?v=NVCQGcHvrOA
2/6/1965,It's Gotta Last Forever,Billy J. Kramer With The Dakotas,1,False,True,True,True,it's gotta last forever,billy j. kramer - topic,https://www.youtube.com/watch?v=jUkSyQyvhd0
2/13/1965,Apache '65,The Arrows Featuring Davie Allan,0,False,True,False,True,apache '65,davie allan & the arrows - topic,https://www.youtube.com/watch?v=d1ehRPx5h2s
2/13/1965,Angel,Johnny Tillotson,2,False,False,True,True,angel,johnny tillotson,https://www.youtube.com/watch?v=u0Z4oHjg-xE
2/13/1965,Somewhere,P.J. Proby,3,False,True,True,True,somewhere,p.j. proby - topic,https://www.youtube.com/watch?v=5tq3-QFZ-JU
2/13/1965,Did You Ever,The Hullaballoos,0,False,True,True,True,did you ever,the hullaballoos - topic,https://www.youtube.com/watch?v=J1unErAXsM4
2/6/1965,Love Me As Though There Were No Tomorrow,Sonny Knight,2,False,True,False,True,love me as though there were no tomorrow,malcolm vaughan - topic,https://www.youtube.com/watch?v=bAL9IaA9Jtc
2/13/1965,It's Gonna Be Alright,Maxine Brown,2,False,True,True,True,it's gonna be alright,maxine brown - topic,https://www.youtube.com/watch?v=2GmdKlucXs4
2/6/1965,"Hello, Dolly!",Bobby Darin,1,False,False,True,True,"bobby darin - hello, dolly! (audio)",bobby darin,https://www.youtube.com/watch?v=BclE4g0lJoE
2/20/1965,Send Me The Pillow You Dream On,Dean Martin,1,False,False,True,True,send me the pillow you dream on,dean martin,https://www.youtube.com/watch?v=3s52FZYmi3U
2/13/1965,Fly Me To The Moon,LaVern Baker,0,False,True,True,True,fly me to the moon,lavern baker - topic,https://www.youtube.com/watch?v=o9jScy8zHt0
2/13/1965,Diana,Bobby Rydell,0,False,False,True,True,diana,bobby rydell,https://www.youtube.com/watch?v=eXDvMRtaWJI
2/6/1965,Red Roses For A Blue Lady,Vic Dana,1,False,True,True,True,red roses for a blue lady,vic dana - topic,https://www.youtube.com/watch?v=LZ0EzFoKPXU
2/20/1965,If I Loved You,Chad & Jeremy,0,False,True,True,True,if i loved you,chad & jeremy - topic,https://www.youtube.com/watch?v=oeZeSQvI0_4
2/13/1965,"Yeh, Yeh",Georgie Fame And The Blue Flames,2,False,True,True,True,"yeh, yeh",georgie fame - topic,https://www.youtube.com/watch?v=9nRmV2I-yLQ
2/13/1965,Orange Blossom Special,Johnny Cash,0,True,False,True,True,johnny cash - orange blossom special (official audio),johnny cash,https://www.youtube.com/watch?v=cPSiK5dCTCU
2/13/1965,If I Ruled The World,Tony Bennett,1,False,False,True,True,if i ruled the world,tony bennett,https://www.youtube.com/watch?v=52k3YdzNPJo
2/13/1965,Suddenly I'm All Alone,Walter Jackson,0,False,True,True,True,suddenly i'm all alone,walter jackson - topic,https://www.youtube.com/watch?v=WubFpcs7TkQ
2/20/1965,Eight Days A Week,The Beatles,0,False,False,True,True,the beatles - eight days a week,the beatles,https://www.youtube.com/watch?v=kle2xHhRHg4
2/6/1965,Cry,Ray Charles,0,False,False,True,True,cry,ray charles,https://www.youtube.com/watch?v=zuzX3AGvz3o
2/13/1965,Shotgun,Jr. Walker & The All Stars,2,False,True,True,True,shotgun,jr. walker & the all stars - topic,https://www.youtube.com/watch?v=JMOpUhBeIaE
2/20/1965,Whipped Cream,Herb Alpert's Tijuana Brass,0,False,False,True,True,whipped cream,herb alpert,https://www.youtube.com/watch?v=1c316dKmRdI
2/20/1965,You Can Have Him,Timi Yuro,0,False,True,True,True,you can have him,timi yuro and johnnie ray - topic,https://www.youtube.com/watch?v=vaht_a8fM6A
2/20/1965,Go Now!,The Moody Blues,2,False,False,True,True,go now,the moody blues,https://www.youtube.com/watch?v=MuNnOo7vWho
2/20/1965,You Better Get It,Joe Tex,0,False,True,True,True,you better get it,joe tex & the vibrators - topic,https://www.youtube.com/watch?v=futYdpTFAls
2/27/1965,The Race Is On,Jack Jones,1,False,True,True,True,the race is on,jack jones - topic,https://www.youtube.com/watch?v=3503pkqDIk8
2/27/1965,Pass Me By,Peggy Lee,2,False,False,True,True,pass me by,peggy lee,https://www.youtube.com/watch?v=0bHFCP1WFWU
2/20/1965,Mr. Pitiful,Otis Redding,2,True,False,False,True,otis redding - mr. pitiful (vinyl: music from the hbo® original series) [official audio],atlantic records,https://www.youtube.com/watch?v=myK_YA51VwA
2/27/1965,Come And Stay With Me,Marianne Faithfull,1,False,False,True,True,come and stay with me,marianne faithfull,https://www.youtube.com/watch?v=vu2C1tuLCFw
2/27/1965,You Got What It Takes,Joe Tex,0,False,True,True,True,you got what it takes,joe tex & the vibrators - topic,https://www.youtube.com/watch?v=NWigVas6PHE
2/20/1965,Does He Really Care For Me,Ruby And The Romantics,0,False,True,False,True,does he really care for me,ruby & the romantics - topic,https://www.youtube.com/watch?v=wKf8dqOyEgg
3/6/1965,Gee Baby (I'm Sorry),The Three Degrees,2,False,False,True,True,gee baby (i'm sorry),the three degrees,https://www.youtube.com/watch?v=JQJCZc56kS8
