Date,Song,Artist,Failed Reason
6/19/1961,Let's Twist Again,Chubby Checker,No suitable video
7/31/1961,Dedicated (To The Songs I Love),The 3 Friends,No suitable video
7/31/1961,The Mountain's High,Dick and DeeDee,No suitable video
7/3/1961,Tender Years,George Jones,No suitable video
5/29/1961,Big Boss Man,Jimmy Reed,No suitable video
9/4/1961,You Must Have Been A Beautiful Baby,Bobby Darin,No suitable video
9/11/1961,"Signed, Sealed And Delivered",Rusty Draper,No suitable video
10/2/1961,Everlovin',Rick Nelson,No suitable video
10/2/1961,Pocketful Of Rainbows,Deane Hawley,No suitable video
9/11/1961,Anniversary Of Love,The Caslons,No suitable video
9/18/1961,Bright Lights Big City,Jimmy Reed,No suitable video
10/9/1961,The Door To Paradise,Bobby Rydell,No suitable video
10/23/1961,Crazy,Patsy Cline,No suitable video
10/16/1961,Young Boy Blues,Ben E. King,No suitable video
10/16/1961,Goodbye Cruel World,James Darren,No suitable video
11/13/1961,The Lion Sleeps Tonight,The Tokens,No suitable video
11/27/1961,Unchain My Heart,Ray Charles and his Orchestra,No suitable video
12/18/1961,Pushin' Your Luck,Sleepy King,No suitable video
1/6/1962,The Little Drummer Boy,The Jack Halloran Singers,No suitable video
12/4/1961,Small Sad Sam,Phil McLean,No suitable video
12/4/1961,The Majestic,Dion,No suitable video
1/20/1962,Oliver Twist,Rod McKuen,No suitable video
1/20/1962,Nite Owl,Dukays,No suitable video
1/13/1962,Crying In The Rain,The Everly Brothers,No suitable video
1/27/1962,"Aw Shucks, Hush Your Mouth",Jimmy Reed,No suitable video
1/20/1962,Where Have All The Flowers Gone,The Kingston Trio,No suitable video
2/3/1962,Her Royal Majesty,James Darren,No suitable video
2/10/1962,B'wa Nina (Pretty Girl),The Tokens,No suitable video
3/17/1962,Tell Me,Dick and DeeDee,No suitable video
4/14/1962,Conscience,James Darren,No suitable video
3/3/1962,Young World,Rick Nelson,No suitable video
3/17/1962,She Cried,Jay & The Americans,No suitable video
4/14/1962,March Of The Siamese Children,Kenny Ball and his Jazzmen,No suitable video
4/7/1962,Hide 'Nor Hair,Ray Charles and his Orchestra,No suitable video
4/21/1962,I Sold My Heart To The Junkman,The Blue-Belles,No suitable video
4/21/1962,(I was) Born To Cry,Dion,No suitable video
4/14/1962,Night Train,James Brown And The Famous Flames,No suitable video
4/28/1962,I Love You,The Volume's,No suitable video
4/28/1962,Here Comes That Feelin',Brenda Lee,No suitable video
5/12/1962,I'll Try Something New,The Miracles,No suitable video
5/19/1962,Where Are You,Dinah Washington,No suitable video
5/12/1962,Palisades Park,Freddy Cannon,No suitable video
4/28/1962,(The Man Who Shot) Liberty Valance,Gene Pitney,No suitable video
5/5/1962,Oh My Angel,Bertha Tillman,No suitable video
6/16/1962,Speedy Gonzales,Pat Boone,No suitable video
6/16/1962,Bongo Stomp,Little Joey And The Flips,No suitable video
6/30/1962,La Bomba,The Tokens,No suitable video
6/30/1962,"Ahab, The Arab",Ray Stevens,No suitable video
6/30/1962,Mary's Little Lamb,James Darren,No suitable video
6/23/1962,Good Lover,Jimmy Reed,No suitable video
7/7/1962,Why Did You Leave Me?,Vince Edwards,No suitable video
6/30/1962,It Started All Over Again,Brenda Lee,No suitable video
8/11/1962,Teen Age Idol,Rick Nelson,No suitable video
8/18/1962,Limbo,The Capris,No suitable video
8/11/1962,Send Me The Pillow You Dream On,Johnny Tillotson,No suitable video
8/18/1962,You Can't Judge A Book By The Cover,Bo Diddley,No suitable video
7/28/1962,Sheila,Tommy Roe,No suitable video
8/25/1962,Beach Party,Dave York and The Beachcombers,No suitable video
9/15/1962,Bonanza!,Johnny Cash,No suitable video
9/15/1962,What Time Is It?,The Jive Five With Eugene Pitts,No suitable video
9/15/1962,Sweet Little Sixteen,Jerry Lee Lewis,No suitable video
9/29/1962,Desafinado,Stan Getz/Charlie Byrd,No suitable video
10/13/1962,Mama Sang A Song,Stan Kenton,No suitable video
10/13/1962,Further More,Ray Stevens,No suitable video
9/29/1962,I've Been Everywhere,Hank Snow,No suitable video
10/13/1962,Hail To The Conquering Hero,James Darren,No suitable video
11/17/1962,A Little Bit Now (A Little Bit Later),The Majors,No suitable video
10/20/1962,Don't Ask Me To Be Friends,The Everly Brothers,No suitable video
11/10/1962,Love Came To Me,Dion,No suitable video
11/24/1962,I May Not Live To See Tomorrow,Brian Hyland,No suitable video
12/8/1962,Let Me Go The Right Way,The Supremes,No suitable video
12/8/1962,You've Really Got A Hold On Me,The Miracles,No suitable video
12/8/1962,Don't Make Me Over,Dionne Warwick,No suitable video
2/9/1963,Pin A Medal On Joey,James Darren,No suitable video
1/5/1963,I Will Live My Life For You,Tony Bennett,No suitable video
2/16/1963,Mr. Bass Man,Johnny Cymbal,No suitable video
